title,url,description,types
Prawn and Mushroom Stew with Pike Dumplings,https://eatsmarter.com/recipes/prawn-and-mushroom-stew-with-pike-dumplings,"Separate eggs, reserving yolks. Beat egg whites with double cream. Using a blender, gradually mix egg mixture into ground pike mixture using a blender. Season pike mixture with salt and white pepper and refrigerate for about 1 hour.","['Fish', 'Eggs', 'Spices', 'Herb', 'Shrimp', 'Dairy', 'mushroom', 'Lunch', 'Dinner', 'Main Course', 'Ragout', 'Meal for Four', 'low-carb']"
Sesame Pork Cutlets with Potato Pineapple Salad,https://eatsmarter.com/recipes/sesame-pork-cutlets-with-potato-pineapple-salad,"Drain and peel potatoes and cut into slices. Boil vinegar with instant broth, add 2 tablespoons oil and season with salt and pink pepper. Pour vinegar mixture over potatoes and mix gently.","['Lunch', 'Cooking', 'Meat', 'Pork', 'salad', 'Fresh Salad', 'Hearty Salad', 'Potato Salad', 'Course', 'Main Course', 'Schnitzel', 'German', 'Family', 'Meal for Four', 'Home Cooking', 'Classic']"
Radicchio and Watercress Salad,https://eatsmarter.com/recipes/radicchio-and-watercress-salad,Cook the sweetbreads for 20 minutes in boiling salted water with 2 tablespoons of vinegar. Allow to cool.,"['salad', 'Root Vegetable', 'Spices', 'Seed', 'Herb', 'Dairy', 'Lunch', 'Dinner', 'Appetizer', 'Main Course', 'Meal for Four', 'low-carb']"
Sushi Rice Salad,https://eatsmarter.com/recipes/sushi-rice-salad,"Rinse the snow peas and finely chop. Rinse and peel the carrot and cut into thin slices. Heat 2 teaspoons of oil and cook the shrimp for 2-3 minutes. Cut the ginger finely. Place the rice in a bowl. Mix the shrimp, snow peas, carrots and ginger together and place on the rice.","['Rice Salad', 'Seafood', 'Shellfish', 'Scampi', 'Rice', 'salad', 'Hearty Salad', 'Lunch', 'Main Course', 'Buffet', 'Exotic', 'Meal for Four', 'Guest']"
Cured Duck,https://eatsmarter.com/recipes/cured-duck,"Rinse and peel the carrots, parsnip, potatoes and celery root. Leave the potatoes whole and cut the rest of the vegetables into small pieces. Rinse the leek and cut diagonally. Add all the vegetables to the duck and cook for 30 minutes.","['Duck', 'Bread', 'Eggs', 'Vegetable', 'Spices', 'Potato', 'Herb', 'Dairy', 'Lunch', 'Dinner', 'Main Course', 'German', 'Meal for Four', 'Sunday cooking', 'weekend cooking']"
Spanish Potato Tortilla,https://eatsmarter.com/recipes/spanish-potato-tortilla-0,"Heat 2 tbsp oil in a pan. Add potatoes, onions and garlic and sauté about 10 minutes. Beat eggs and season with salt and pepper. Mix carrots and sunflower seeds with potatoes. Pour eggs over vegetables and cook until the bottom has browned and the eggs are beginning to set. Remove tortilla, add remaining oil and cook until golden-brown on the other side.","['Lunch', 'Eggs', 'Vegetable', 'Root Vegetable', 'Potato', 'Seed', 'Course', 'Appetizer', 'Tortilla', 'German', 'Meal for Four', 'Home Cooking', 'Country Style', 'College Cooking']"
Spaghetti with Tomato Sauce,https://eatsmarter.com/recipes/spaghetti-with-tomato-sauce-3,"Heat the olive oil in a pan. Add onions and garlic and sauté until golden-brown. Stir in herbs and lemon zest. Stir in carrot, parsley root and tomatoes. Mash tomatoes with a wooden spoon. Simmer sauce until thickened. Season with salt, pepper and sugar.","['Cooking', 'Vegetable', 'Cheese', 'Pasta', 'Spaghetti', 'Course', 'Lunch', 'Dinner', 'Snack', 'Menu', 'Main Course', 'European', 'Italian']"
Artichoke Quiche,https://eatsmarter.com/recipes/artichoke-quiche,"Drain and rinse with cold water. Cut into quarters and remove the ""hay"". Peel and dice onion and garlic. Rinse parsley, shake dry and finely chop.","['Cooking', 'Vegetable', 'Cheese', 'Herb', 'Course', 'Snack', 'Lunch', 'Menu', 'Appetizer', 'Side Dish', 'European', 'Italian', 'low-carb']"
Braised Herb Chicken with Shallots and Garlic,https://eatsmarter.com/recipes/braised-herb-chicken-with-shallots-and-garlic,"Blanch the shallots and garlic for 3-4 minutes in boiling water. Drain, rinse with cold water and peel both. Peel the carrots and cut into sticks. Rinse, trim and finely chop the celery.","['Cooking', 'Meat', 'Poultry', 'Chicken', 'Vegetable', 'Herb', 'Course', 'Lunch', 'Dinner', 'Menu', 'Main Course', 'low-carb']"
Cheese Polenta Gratin,https://eatsmarter.com/recipes/cheese-polenta-gratin,Spread polenta on a lined with parchment paper or aluminum foil baking sheet until 1 cm thin (approximately 1/2 inch) and refrigerate for 1-2 hours. ,"['Cooking', 'Vegetable', 'Cheese', 'Course', 'Snack', 'Lunch', 'Menu', 'Appetizer', 'Side Dish']"
Baked Eel in Tomato Sauce with Chard,https://eatsmarter.com/recipes/baked-eel-in-tomato-sauce-with-chard,"Rinse, trim and finely chop chard. Peel and dice onion and garlic.","['Cooking', 'Fish', 'Vegetable', 'Herb', 'Course', 'Lunch', 'Snack', 'Menu', 'Main Course', 'low-carb']"
Pork Medallions in Spicy Sauce,https://eatsmarter.com/recipes/pork-medallions-in-spicy-sauce,Heat olive oil in a pan. Add bacon and sauté briefly. Add onion and garlic and cook until translucent. Deglaze with a splash of white wine. Stir in capers and half of the lemon zest. Stir in beef stock. Season with salt and pepper.,"['Cooking', 'with Alcohol', 'Meat', 'Pork', 'Vegetable', 'Herb', 'Course', 'Lunch', 'Dinner', 'Menu', 'Main Course', 'low-carb']"
Trout in Lemon and Onion Marinade,https://eatsmarter.com/recipes/trout-in-lemon-and-onion-marinade,"Peel onions and cut into rings. Peel, trim and finely grate carrots. Rinse lemons and cut into slices.","['Cooking', 'with Alcohol', 'Fish', 'Vegetable', 'Course', 'Lunch', 'Dinner', 'Menu', 'Main Course', 'low-carb']"
Roast Beef in Tomato-caper Sauce,https://eatsmarter.com/recipes/roast-beef-in-tomato-caper-sauce,"Peel and dice onion and garlic. Sauté onion and garlic in remaining olive oil until golden. Stir in tomato paste and sauté briefly. Add tomatoes with their liquid, crushing them with a wooden spoon. Simmer until thickened. Stir in capers and olives.","['Cooking', 'Meat', 'Beef', 'Vegetable', 'Herb', 'Course', 'Lunch', 'Dinner', 'Menu', 'Main Course', 'low-carb']"
Baked Swordfish,https://eatsmarter.com/recipes/baked-swordfish,"Heat olive oil in a large, non-stick pan over high heat. Sear swordfish steaks briefly on both sides.","['Cooking', 'Fish', 'Vegetable', 'Herb', 'Course', 'Lunch', 'Dinner', 'Menu', 'Main Course', 'Cutlet', 'low-carb']"
Gnocchi Alla Romana with Tomato Sauce,https://eatsmarter.com/recipes/gnocchi-alla-romana-with-tomato-sauce,"For the tomato sauce: Peel the garlic and onion chop into small cubes. Heat the olive oil in a pot and saute the garlic and onion. Pour the canned tomatoes with the liquid into the pot and crush with a wooden spoon. Bring the sauce to a boil until thickened and smooth. Season with salt, pepper and sugar.","['Cooking', 'Dough', 'Vegetable', 'Cheese', 'Dairy', 'Pasta', 'Course', 'Lunch', 'Dinner', 'Snack', 'Menu', 'Appetizer', 'Main Course']"
Tomato and Vegetable Stew,https://eatsmarter.com/recipes/tomato-and-vegetable-stew,"Rinse the zucchini and cut into cubes. Peel and rinse the potatoes and cut into cubes. Cut the artichokes into cubes. Heat the remaining olive oil and saute the potatoes and artichoke briefly. Remove the thyme leaves from the stems and add to the potatoes. Pour in the broth, cover and cook for 15 minutes. Add the zucchini and cook for 5 minutes.","['Cooking', 'Vegetable', 'Potato', 'Herb', 'Stew', 'Course', 'Snack', 'Lunch', 'Menu', 'Appetizer', 'Side Dish', 'Main Course']"
Pork with Sauerkraut and Mustard-cream Sauce,https://eatsmarter.com/recipes/pork-with-sauerkraut-and-mustard-cream-sauce,"Heat oil in a pot. Add onion and carrot and sauté briefly. Shred sauerkraut with a fork and add to the pot. Pour in vegetable stock, cover and cook for 15 minutes. Stir in mustard, double cream and crème fraîche and bring to a boil. Cook until vegetables are tender, stirring occasionally. Season with salt and pepper.","['Main Course', 'Cooking', 'Meat', 'Pork', 'Vegetable', 'Lunch', 'Dinner', 'Menu', 'German', 'Family', 'Home Cooking', 'Classic', 'Country Style', 'Sunday cooking', 'non-alcoholic', 'egg-free', 'Boneless', 'Milk-free', 'low-carb']"
Pumpkin Slices in Parchment,https://eatsmarter.com/recipes/pumpkin-slices-in-parchment,"Place pumpkin slices on an appropriately-sized piece of parchment paper. Brush slices with half of the poppy butter. Fold parchment paper and seal by twisting the ends together firmly. Set parchment on directly on the wire shelf of a preheated oven. Bake at 200°C (gas mark 3-4, fan: 180°C) (approximately 400°F), 25-30 minutes.","['Cooking', 'Vegetable', 'fruit-vegetable', 'Dairy', 'Lunch', 'Dinner', 'Appetizer', 'Side Dish', 'Vegetable Side Dish', 'hearty side dish', 'Easy', 'Meal for Four', 'everyday meal', 'Quick', 'Vegetarian', 'Vegetarian Appetizers', 'low-carb']"
Traditional Pot-Au-Feu,https://eatsmarter.com/recipes/traditional-pot-au-feu,"Clean and rinse cabbage, chop. Peel and slice carrots. Drain and rinse beans in a sieve, drain well.","['broth-based soup', 'High-protein', 'low-carb', 'Classic', 'Goulash', 'Grandma&#039;s', 'European', 'German', 'Family', 'festively', 'Guest', 'Home Cooking', 'Classic', 'Beef', 'Vegetable', 'Spices', 'Seed', 'Herb', 'soup', 'Broth', 'Lunch', 'Dinner', 'Main Course']"
Poached Eggs,https://eatsmarter.com/recipes/poached-eggs-0,"For the poached eggs, bring about 2 liters of water (approximately 8 1/2 cups) to a boil along with 4 tablespoons of vinegar. Carefully break the eggs into a ladle and slowly slide them into the vinegar water. When the eggs are set, lift from the water with a skimmer and drain.","['Cooking', 'German-style mustard egg', 'Eggs', 'Poached Egg', 'Sauce', 'Lunch', 'Dinner', 'Main Course', 'low-carb']"
Cheese Nuggets,https://eatsmarter.com/recipes/cheese-nuggets,"Whisk egg. Dip cheese nuggets in egg, then coat in coconut-peanut mixture. Heat butter in a pan. Add cheese nuggets and fry until golden on both sides.","['Cooking', 'Eggs', 'Spices', 'Cheese', 'Nut', 'Lunch', 'Dinner', 'Snack', 'Finger Food', 'Appetizer', 'Side Dish', 'Main Course', 'low-carb']"
Zucchini-Potato Pancakes with Radish Cream,https://eatsmarter.com/recipes/zucchini-potato-pancakes-with-radish-cream,"For the zucchini-potato pancakes: Rinse the zucchini and cut into thin strips about 3 cm (approximately 1 inch) in length. Peel and coarsely grate the potatoes, place in a clean tea towel and squeeze out the excess water. Mix the zucchini and potatoes together and season with salt, pepper and nutmeg. ","['Cooking', 'Vegetable', 'Potato', 'Herb', 'Course', 'Lunch', 'Dinner', 'Menu', 'Main Course', 'Latke', 'low-carb']"
Lamb Chops with Mediterranean-style Beans,https://eatsmarter.com/recipes/lamb-chops-with-mediterranean-style-beans,"Peel shallots and garlic and finely chop. Finely chop the rosemary needles. Drain the soaked sun-dried tomatoes and chop finely. Cut olives in half. Season lamb with salt and pepper. Heat 2 tablespoons olive oil in a pan and fry the lamb cutlets on both sides for 3 minutes on each side, then keep warm in the oven at 50°C (approximately 120°F).","['Cooking', 'with Alcohol', 'Meat', 'Lamb', 'Vegetable', 'Course', 'Lunch', 'Dinner', 'Menu', 'Main Course', 'Cutlet', 'low-carb']"
Tagliatelle with Salmon and Watercress,https://eatsmarter.com/recipes/tagliatelle-with-salmon-and-watercress,"Cook tagliatelle in salted water according to the package instructions until al dente. Peel shallots and chop finely. In a pan, heat olive oil. Add shallots and sauté briefly. Add the salmon cubes and season with salt, pepper and lemon juice. Pour in wine, broth and cream. Cover and simmer for about 5 minutes.","['Cooking', 'with Alcohol', 'Fish', 'Vegetable', 'Herb', 'Pasta', 'Course', 'Lunch', 'Snack', 'Menu', 'Appetizer', 'Main Course']"
Lentil and Potato Stew,https://eatsmarter.com/recipes/lentil-and-potato-stew,"Peel and coarsely chop the potatoes. Boi l in salted water for about 10 minutes. Drain well. Peel and finely chop the onion. Rinse the parsley, pat dry, remove the leaves and chop finely. Peel and dice the carrots. ","['Cooking', 'Goulash', 'Potato Goulash', 'Meat', 'Vegetable', 'Legume', 'Potato', 'Lunch', 'Dinner', 'Main Course']"
Red Beans with Meatballs,https://eatsmarter.com/recipes/red-beans-with-meatballs,"Heat olive il in a pot and saute the onion and chile pepper. Add the bll peppers and celery, and braise for about 5 minutes. Add the red beans, coconut milk and vegetable broth, cover the pot and cook for about 10 minutes. Season with salt and pepper. Rinse the cilantro, shake dry, chop and mix into the beans.","['Cooking', 'Meat', 'Vegetable', 'Course', 'Lunch', 'Dinner', 'Menu', 'Main Course', 'Meatball', 'low-carb']"
Spaghetti with Snow Peas,https://eatsmarter.com/recipes/spaghetti-with-snow-peas,"Rinse and cut snow peas into strips. During the last minute of cooking time, pour into the pot with the spaghetti and briefly cook. Drain.","['Cooking', 'Cheese', 'Herb', 'Pasta', 'Course', 'Lunch', 'Snack', 'Appetizer', 'Side Dish', 'Main Course', 'Easy']"
Lamb Curry with Bell Peppers,https://eatsmarter.com/recipes/lamb-curry-with-bell-peppers,"Cut bell peppers into quarters, trim, rinse and cut into strips. Heat a dry pan and add the meat. Brown on all sides, then add peppers and sauté briefly. Season with salt and lemon juice. Pour in broth and simmer for 40 minutes. Add chanterelles and parsley, mix well and cook another 5 minutes. Season again with salt before serving.","['Cooking', 'Paleo Diet', 'Paleo dinner', 'Paleo Main Dish', 'Paleo lunch', 'Curry', 'Meal for Four', 'Meat', 'Lamb', 'Vegetable', 'fruit-vegetable', 'Onion', 'Spices', 'Herb', 'mushroom', 'Classic Sauce', 'marinade', 'Lunch', 'Main Course', 'low-carb']"
Potato and Bean Salad with Watercress and Smoked Ham,https://eatsmarter.com/recipes/potato-and-bean-salad-with-watercress-and-smoked-ham,"Heat vegetable broth. Drain and peel potatoes, cut into pieces. Pour broth over potatoes and let soak for 30 minutes. Place potatoes into glasses. ","['Cooking', 'In a jar', 'Salad in a Jar', 'Meat', 'Vegetable', 'Potato', 'Herb', 'salad', 'Vegetable Salad', 'Potato Salad', 'Course', 'Lunch', 'Dinner', 'Menu', 'Appetizer', 'Main Course']"
Bagels with Pineapple and Cream Cheese,https://eatsmarter.com/recipes/bagels-with-pineapple-and-cream-cheese,Place the lettuce leaves on the bottom bagel halves followed by the cucumber and pineapples. Sprinkle with the pink peppercorns and sandwich with the top bagel halves. Serve immediately.,"['Course', 'Vegetable', 'Fruit', 'salad', 'Snack', 'Bagel', 'Sandwich', 'Breakfast', 'Lunch']"
Ground Lamb,https://eatsmarter.com/recipes/ground-lamb,"Peel onion and garlic and chop finely. Heat olive oil in a pan and saute onion and garlic until soft. Add meat and saute until crumbly. Season with salt, pepper, cumin powder and paprika, add tomato paste and mix well. Cook, stirring, until meat is done. ","['Cooking', 'Meat', 'Lamb', 'Spices', 'Herb', 'Dairy', 'Course', 'Lunch', 'Dinner', 'Menu', 'Main Course']"
Pineapple and Potato Gratin with Goat Cheese,https://eatsmarter.com/recipes/pineapple-and-potato-gratin-with-goat-cheese,"Quarter bell peppers, remove seeds and ribs, rinse and chop finely. Rinse and halve chile pepper, remove seeds and ribs and chop finely. Heat oil in a pan and saute chile pepper briefly. Season with salt and pepper. Drain potatoes well. Cut pineapple into thin slices.","['Cooking', 'Vegetable', 'Potato', 'Cheese', 'Fruit', 'Course', 'Lunch', 'Dinner', 'Menu', 'Main Course', 'Gratin']"
Duck Breasts with Pineapple and Rice,https://eatsmarter.com/recipes/duck-breasts-with-pineapple-and-rice,Cut the pineapple into slices. Rinse the scallions and cut into pieces. Heat the oil in a nonstick skillet. Add the pineapple slices and cook until golden on both sides. Add the scallions and cook until fragrant. Season with a pinch each of salt and cayenne pepper.,"['Cooking', 'Meat', 'Poultry', 'Duck', 'Vegetable', 'Fruit', 'Course', 'Lunch', 'Dinner', 'Menu', 'Main Course']"
