title,url,description,types
Celery Pear Risotto,https://eatsmarter.com/recipes/celery-pear-risotto,"Secondary plant substances such as phthalides from the essential oils of celery can relieve cramps, dilate blood vessels and thus reduce high blood pressure. Cashews are a source of magnesium and phosphorus. These minerals guarantee proper muscle and nerve function.","['Risotto', 'nutritional', 'Gluten-free', 'Gluten-free Vegan Recipe', 'Gluten-free Dinner', 'Gluten-free Lunch', 'lactose-free', 'lactose-free vegetarian', 'Vegan', 'Vegan Lunch', 'Vegan Entree for Christmas', 'Vegan Recipe for Christmas', 'Vegan Dinner', 'Vegan Entree', 'Vegetarian', 'Fertility', 'Gout', 'high cholesterol', 'Iron Deficiency', 'Lactation', 'Osteoarthritis', 'Osteoporosis', 'Pregnancy', 'Stress', 'regional', 'European', 'Italian', 'seasonal', 'Autumn', 'winter', 'Cooking', 'Rice', 'Course', 'Lunch', 'Dinner', 'Menu', 'Main Course', 'Low-calorie']"
Rice with Roasted Butternut Squash,https://eatsmarter.com/recipes/rice-with-roasted-butternut-squash,"The Butternut squash provides us with a lot of beta-carotene. On the one hand, the secondary plant substance acts as an antioxidant, and at the same time it is a precursor of vitamin A, which is important for healthy eyes and radiant skin. Pomegranate seeds are bursting with secondary plant compounds that protect our cells from environmental irritants.","['Vegan', 'nutritional', 'Clean Eating', 'high-fiber', 'High-fiber Vegetarian Dish', 'Low-fat', 'Low-fat Vegetarian Dish', 'Healthy Eating', '250-400 Calorie', 'Vegan Lunch', 'Vegan Dinner', 'Vegan Entree', 'regional', 'European', 'seasonal', 'Autumn', 'Autumn Dinner', 'Autumn Lunch', 'Autumn Vegetable', 'Autumn Dish', 'winter', 'Winter Vegetable', 'Winter Dish', 'Cooking', 'Vegetable', 'Rice', 'Course', 'Lunch', 'Dinner', 'Menu', 'Main Course', 'Low-calorie']"
Rice and Chard Casserole,https://eatsmarter.com/recipes/rice-and-chard-casserole,Swiss chard is one of the few vegetables that can rival even many dairy products in terms of calcium content. This mineral is good for strong teeth and bones. Walnuts contain large amounts of various B vitamins. They help to stay relaxed and keep a clear head even under stress.,"['Rice Casserole', 'nutritional', 'Clean Eating', 'high-fiber', 'High-fiber Vegetarian Dish', 'Vegetarian', 'Vegetarian Lunch', 'Vegetarian Dinner', 'Vegetarian Entree', 'Classic', 'Casserole', 'Vegetable Casserole', 'Vegetarian Casserole', 'Cooking', 'Vegetable', 'Rice', 'Course', 'Lunch', 'Dinner']"
Saffron Risotto with Scallops,https://eatsmarter.com/recipes/saffron-risotto-with-scallops,"Rinse the scallops under running water and drive a short knife into the shell along the edge. Remove lid, loosen the meat with the knife. Trim the White flesh and orange red roe (Corail) from the gray edges free. Rinse the meat.","['Mussel and Clam', 'Seafood', 'Rice', 'Risotto', 'Roast', 'High-protein', 'Low-sugar']"
Vegan Beet Risotto,https://eatsmarter.com/recipes/vegan-beet-risotto,Do you suffer from high blood pressure? Then eat more beets! The nitrate it contains can significantly improve your blood pressure. Poppy seeds contribute to strong bones because the tiny grains contain a lot of calcium. Red grapes have a lot of antioxidants to offer. This promotes cell protection and thus slows down the aging process.,"['Risotto', 'nutritional', 'Gluten-free', 'Gluten-free Vegan Recipe', 'Gluten-free Dinner', 'Gluten-free Lunch', 'lactose-free', 'lactose-free vegetarian', 'Vegan', 'Vegan Lunch', 'Vegan Dinner', 'Vegan Entree', 'Vegetarian', 'Fertility', 'high cholesterol', 'Iron Deficiency', 'Lactation', 'Osteoarthritis', 'Stress', 'regional', 'European', 'Italian', 'seasonal', 'Autumn', 'winter', 'Cooking', 'Rice', 'Course', 'Lunch', 'Dinner', 'Menu', 'Main Course']"
Brown Rice,https://eatsmarter.com/recipes/brown-rice,"If you want to get all the valuable nutrients from the delicious grains, you should always use unhulled brown rice, because fibre and vitamins B1 and B6 are mainly found in the outer layers, which have been polished away in white rice. Thiamine, vitamin B1, strengthens the nerves and the latter supports the protein metabolism.","['Rice', 'Low-cholesterol', 'diet', 'Low-fat', '100-250 Calorie', 'lactose-free', 'lactose-free vegetarian', 'Mineral-rich', 'non-alcoholic', 'Vegetarian', 'Low-sugar', 'Meal for Four', 'everyday meal', 'Cooking', 'Rice Side Dish', 'hearty side dish']"
Salmon Sushi,https://eatsmarter.com/recipes/salmon-sushi,"This twist on traditional sushi is full of vitamins and minerals. One portion covers your daily requirement of vitamin D, which supports firm bones and teeth. There is also plenty of vitamin B12 for the formation of red blood cells and a well-functioning nervous system.","['Rice', 'Low-cholesterol', 'diet', 'Dash Diet', 'High-protein', '100-250 Calorie', 'lactose-free', 'Lactose-free Fish', 'Superfoods', 'Vitamin-rich', 'Low-sugar', 'Crohn&#039;s Disease', 'Diabetic', 'Fertility', 'Gut Flora', 'Healthy Eyes', 'Healthy Gallbladder', 'high cholesterol', 'Iodine Deficiency', 'Iron Deficiency', 'Irritable Bowel Syndrome', 'Menopause', 'Osteoarthritis', 'Osteoporosis', 'Stress', 'Sushi', 'Asian', 'Japanese', 'Exotic', 'Guest', 'Party', 'Sunday cooking', 'Fish', 'Freshwater Fish', 'Soy', 'Lunch', 'Dinner', 'Snack', 'Appetizer', 'Main Course']"
Sesame Sushi Rice,https://eatsmarter.com/recipes/sesame-sushi-rice,"Here, little fat and many complex carbohydrates are put on the plate. The latter are the most important, fastest available energy source for our body. Depending on the load, its reserves only last for up to 90 minutes; then we need a replenishment in order to remain efficient and to be able to concentrate well.","['Rice', 'diet', 'Low-fat', 'Low-fat Vegetarian Dish', '250-400 Calorie', 'lactose-free', 'lactose-free vegetarian', 'Lactose-free Snacks', 'Mineral-rich', 'non-alcoholic', 'Vegetarian', 'Vegetarian Appetizers', 'Vegetarian Entree', 'Low-sugar', 'Elevated Blood Lipid', 'Healthy Eyes', 'Healthy Gallbladder', 'Fertility', 'Stomach Discomfort', 'Irritable Bowel Syndrome', 'Pregnancy', 'Lactation', 'Stress', '25-Minute', 'Meal for Four']"
Healthy Vegetarian Quinoa Bowl,https://eatsmarter.com/recipes/healthy-vegetarian-quinoa-bowl,This bowl pairs beautifully with a simple side salad like this radicchio and avocado one.,"['fruit-vegetable', 'Vegetable', 'Legume', 'Rice']"
Carrot and Wild Rice Salad,https://eatsmarter.com/recipes/carrot-and-wild-rice-salad,"You can use white rice, brown rice, cous cous, or quinoa instead of wild rice. ","['Root Vegetable', 'Healthy Eating', 'Thanksgiving', 'Vegetarian Thanksgiving', 'Vegetable', 'Rice']"
Thai Chicken Stew,https://eatsmarter.com/recipes/thai-chicken-stew,"Add the bok choy, peas and coriander to the curry and simmer for around 5 minutes. Season to taste with soy sauce.","['Chicken', 'Curry', 'Asian', 'Thai', 'Cooking on vacation', 'Spicy', 'Poultry', 'fruit-vegetable', 'Rice']"
Mushroom Risotto,https://eatsmarter.com/recipes/mushroom-risotto,"Peel and mince shallot and garlic. Heat butter in a pan and cook shallots and garlic. Add rice and mushrooms, sauté briefly and deglaze with wine. Stir until wine is fully absorbed. Add a little broth and stir until fully absorbed. Add a little more broth and repeat until all broth has been absorbed, giving rice a creamy consistency. ","['Risotto', 'mushroom', 'Rice']"
Fish and Rice Soup,https://eatsmarter.com/recipes/fish-and-rice-soup,"Mix saffron with 2 tablespoons of lukewarm water. Peel, rinse and dice the potatoes. Blanch tomatoes, peel, cut in half, remove seeds and finely dice.","['Fish', 'European', 'Portuguese', 'Home Cooking', 'Rice', 'soup', 'Fish Soup']"
Rice Noodles with Chile Peppers,https://eatsmarter.com/recipes/rice-noodles-with-chile-peppers,Cook rice noodles according to package instructions.,"['Pasta', 'Vegan', 'Vegan Lunch', 'Vegan Dinner', 'Vegan Entree', 'Asian', 'Cooking on vacation', 'Spicy', 'Spices', 'Rice']"
Kedgeree,https://eatsmarter.com/recipes/kedgeree,"If you are missing vegetables in this rice pan with fish in the Anglo-Indian style, you can add an Indian carrot salad. Kedgeree, as the dish is also called, is perfect as a meal prep dish.","['saltwater\xa0Fish', 'skillet rice dish', 'Asian', 'Indian', 'European', 'British', 'English', 'Cooking on vacation', 'Fish', 'Rice']"
Zucchini Stuffed with Rice,https://eatsmarter.com/recipes/zucchini-stuffed-with-rice,"Bring broth with rice to boil, season with salt and cook, covered, for about 20 minutes on low heat.","['fruit-vegetable', 'Vegetable', 'flowering vegetables', 'Rice', 'Diabetic']"
Rice Salad with Dried Apricots,https://eatsmarter.com/recipes/rice-salad-with-dried-apricots,"Of course you can also prepare the rice salad with dried apricots exclusively with Basmati rice. Alternatively, cooked natural rice is also suitable. This adds ballast and minerals to the salad. Goes well with a stuffed chicken breast.","['Rice Salad', 'Stone Fruit', 'Rice', 'diet', 'Healthy Eating', '100-250 Calorie']"
Baked Pumpkin with Vegetable Wild Rice Stuffing,https://eatsmarter.com/recipes/baked-pumpkin-with-vegetable-wild-rice-stuffing,"You can use white or brown rice if you don't have wild rice, and you can leave out the creme fraise for a vegan variation. ","['flowering vegetables', 'Thanksgiving', 'Thanksgiving Side Dishes', 'Vegetarian Thanksgiving', 'Vegetable', 'Rice']"
Pumpkin Risotto with Ricotta,https://eatsmarter.com/recipes/pumpkin-risotto-with-ricotta,"Cut pumpkin flesh into thin slices. Set 8 of the slices aside and finely dice the rest. Sprinkle the slices with sugar and oil and wrap in aluminum foil. Season the diced pumpkin with salt and pepper and wrap in aluminum foil as well. Put both foil packets into a preheated oven at 200°C / 400°F for about 30 minutes. Peel and chop the onion and sauté in 1 tablespoon butter until soft. Add the rice and sauté briefly. Pour in the wine and let rice absorb it. Then add enough hot vegetable broth to just cover the rice, stirring, and keep adding broth as it is absorbed (for about 30 minutes). About 10 minutes before end of cooking, remove diced pumpkin from the oven, puree, and mix into the risotto. Before serving, melt the remaining butter with chile oil to taste, season with oregano, and set aside. Mix the Parmesan into the risotto and season with salt and pepper.","['Risotto', 'European', 'Italian', 'Cooking on vacation', 'Vegetable', 'flowering vegetables', 'Rice', 'Primi Piatti']"
Risotto with Mushrooms and Bacon,https://eatsmarter.com/recipes/risotto-with-mushrooms-and-bacon,"Heat vegetable broth in a pan over low heat. In another pot, sauté onion in oil until translucent. Add bay leaf and porcini powder. Press garlic through a garlic press into the pot. Add rice and cook until translucent. Add wine and cook until completely reduced. Add a cup of broth and cook, stirring, until absorbed. Continue adding broth by the cupful, stirring constantly, until rice is tender and creamy, about 20 minutes. Season with salt and pepper.","['Risotto', 'mushroom', 'Rice']"
Stuffed Grape Leaves with Dipping Sauce,https://eatsmarter.com/recipes/stuffed-grape-leaves-with-dipping-sauce,"Blanch grape leaves in boiling water and drain. On work surface, place grape leaves with smooth side down and cut stems. Place about 1- 2 tablespoons rice stuffing on the stem end of leaves and fold over ends and roll up sides. Heat oil in a pot and place stuffed grape leaves in a single layer. Add about 1 pint (approximately 16 ounces) water and bring to a boil and cook for about 1 minute. Reduce heat and cover and simmer for about 1 hour over very low heat.","['Rice', 'roulade', 'Cooking on vacation', 'Asian', 'Turkish']"
Thai Stir Fry Vegetables,https://eatsmarter.com/recipes/thai-stir-fry-vegetables,"Rinse and quarter bell peppers, remove seeds and ribs and cut into small cubes. Rinse snow peas and trim the ends. ","['skillet vegetables', 'Clean Eating', 'Low-cholesterol', 'Low-cholesterol Vegetarian Dish', 'meat-free', 'Vegan', 'Vegan Lunch', 'Vegan Dinner', 'Vegan Entree', 'Vegetarian', 'Vegetarian Lunch', 'Vegetarian Dinner', 'Vegetarian Entree', 'Curry', 'skillet dish', 'skillet rice dish', 'Asian', 'Thai', 'One-Pot', 'Vegetable', 'Spices', 'Rice', 'Classic Sauce', 'Lunch', 'Dinner', 'Main Course']"
Asian Rice Salad,https://eatsmarter.com/recipes/asian-rice-salad,"Many of the ingredients used will not be available in a normal supermarket, but an Asian grocery store can help. If in doubt, you can replace Thai basil with basil and ketjap manis with soy sauce.","['Rice Salad', 'Asian', 'Thai', 'Cooking on vacation', 'Vegetable', 'Spices', 'Rice', 'salad', 'Hearty Salad', 'Salad Dressing', 'Soy', 'Lunch', 'Side Dish']"
"Mango Salad with Rice, Peas and Tofu",https://eatsmarter.com/recipes/mango-salad-with-rice-peas-and-tofu,"If you're not vegetarian, you can replace the tofu with chicken.","['Rice Salad', 'Grilled Salad', 'layer salad', 'Tropical Fruit', 'Rice']"
Risotto with Salmon and Asparagus,https://eatsmarter.com/recipes/risotto-with-salmon-and-asparagus,"If you would like to avoid the addition of alcohol completely or eat together with children, you can replace white wine 1:1 with vegetable stock.","['leafy green vegetable', 'Spring', 'Easy', 'Fish', 'Fish and Asparagus', 'saltwater\xa0Fish', 'Sprout', 'Rice', 'Risotto', 'Asparagus risotto', 'Spinach risotto']"
Risotto in a Pumpkin,https://eatsmarter.com/recipes/risotto-in-a-pumpkin,"Rinse the pumpkins and cut off the lids. Scrape out the seeds with a spoon and discard. Then scrape out some of the flesh, leaving about 0.5 cm (approximately 1/4 inch). Place the hollowed-out pumpkins on the middle rack of the preheated oven to warm while preparing the risotto.","['Risotto', 'Vegetable', 'flowering vegetables', 'Rice', 'Home Cooking']"
"Risotto with Porcini Mushrooms, Pine Nuts and Arugula",https://eatsmarter.com/recipes/risotto-with-porcini-mushrooms-pine-nuts-and-arugula,"Melt half the butter in a pan. Add the onion and garlic with mushrooms and sauté briefly. Stir in the rice and cook until it is coated with butter. Ladle in about 150 ml (approximately 3/4 cup) of hot stock and 150 ml (approximately 3/4 cup) of the mushroom soaking water and cook until liquid evaporates, stirring constantly.","['Risotto', 'Gluten-free', 'Gluten-free Vegetarian Recipe', 'Gluten-free Lunch', 'egg-free', 'food-combining', 'Food-Combining Dinner', 'Food-Combining Lunch', 'Vegetarian', 'Vegetarian Entree', 'European', 'Italian', 'Meal for Four', 'Guest', 'Sunday cooking', 'weekend cooking', 'Seed', 'mushroom', 'Rice', 'Rice Side Dish', 'Primi Piatti']"
"Creole Chicken Stew with Corn, Beans and Bananas",https://eatsmarter.com/recipes/creole-chicken-stew-with-corn-beans-and-bananas,"For the spice mix: Peel the onions and garlic and chop finely. Rinse the chile peppers, remove seeds and cut into rings. In a bowl, mix together the onions, garlic, chile peppers, curry paste, grated ginger and almonds. Rinse the red and green peppers, cut in half, remove the seeds and dice.","['Chicken', 'North America', 'American', 'Poultry', 'Fruit', 'Rice']"
Vegetable Rice Salad with Seaweed,https://eatsmarter.com/recipes/vegetable-rice-salad-with-seaweed,"You can also prepare the vegetable-rice salad with seaweed without saffron, because it hardly gives any taste, it is only for the yellow colour. Alternatively you can add turmeric to the rice.","['Rice Salad', 'Vegetable Salad', 'Rice', 'Mineral-rich']"
Tandoori Chicken with Rice,https://eatsmarter.com/recipes/tandoori-chicken-with-rice,"You can buy the spices for Tandoori Chicken in well-assorted supermarkets, organic food stores or health food shops. Ghee can easily be replaced by clarified butter - in principle, both are the same. Butter is the starting product for ghee and clarified butter, later water and milk components were removed from the butter.","['Chicken', 'Poultry', 'Rice', 'Spices']"
Spanish Rice with Chicken (paella),https://eatsmarter.com/recipes/spanish-rice-with-chicken-paella,"Heat oil in a pan and saute onions and garlic until translucent. Add chorizo, chicken and wax peppers to the pan and cook for 2-3 minutes. Add rice and fry briefly. Add white wine. Mix saffron in a bowl with a little hot broth and let stand for about 5 minutes. Add remaining broth to the pan and simmer briefly. Add tomatoes and peas, mix well and add saffron mixture.","['Rice', 'European', 'Cooking on vacation', 'Paella', 'skillet dish', 'Spanish']"
Sliced Turkey Bowl with Apples and Rice Noodles,https://eatsmarter.com/recipes/sliced-turkey-bowl-with-apples-and-rice-noodles,"Spring onions owe their strong flavor to their sulfur-containing essential oils. They strengthen the intestinal flora, which plays a crucial role in good defenses.","['Quick', '25-Minute', 'Meat', 'Poultry', 'Turkey', 'Vegetable', 'Fruit', 'Rice', 'Dinner', 'Main Course']"
Broccolini Risotto with Parmesan Cheese,https://eatsmarter.com/recipes/broccolini-risotto-with-parmesan-cheese,"Broccolini is very similar to broccoli but forms smaller florets and longer, thin stems. The green vegetable is delicate in flavor and, like its big brother, contains glucosinolates. These mustard oils inhibit inflammation and aid digestion.","['Risotto', 'Stomach Discomfort', 'Italian', 'Vegetable', 'flowering vegetables', 'Rice', 'Lunch', 'Dinner', 'Main Course', 'Primi Piatti']"
Coconut Milk Rice Balls with Berry Sauce,https://eatsmarter.com/recipes/coconut-milk-rice-balls-with-berry-sauce,"Good for the muscles: The mineral Coconut The mix of minerals contained in coconut promotes muscle regeneration and counteracts cramps. In addition, the exotic is easily digestible. Currants contain a lot of fiber, which gets the digestion going.","['Summer', 'nutritional', 'Healthy Eating', 'Gluten-free', 'Gluten-free Vegetarian Recipe', 'Gluten-free Vegan Recipe', 'Gluten-free Dinner', 'Gluten-free Lunch', '600+ calorie', 'lactose-free', 'lactose-free vegetarian', 'Lactose-free Dessert', 'Vegan', 'Vegan Lunch', 'Vegan Dinner', 'Vegan Entree', 'seasonal', 'Summer Dish', 'Special', 'Sweet', 'Cooking', 'Rice', 'Rice Pudding', 'Course', 'Lunch', 'Dinner', 'Menu', 'Main Course']"
Turkey with Coconut Glaze,https://eatsmarter.com/recipes/turkey-with-coconut-glaze,"The poultry scores with lots of protein, the rice provides fiber: a good mix for long-lasting satiety. Pomegranate provides many antioxidants that protect our cells from free radical damage.","['Turkey', 'Clean Eating', 'High-protein', 'High-protein Poultry Dish', 'Thanksgiving', 'What to Cook on the Weekend?', 'Family', 'Home Cooking', 'Meat', 'Poultry', 'Rice', 'Dinner', 'Main Course']"
Rose Milk Hazelnut Rice,https://eatsmarter.com/recipes/rose-milk-hazelnut-rice,"Cardamom has a particularly soothing effect on a stressed stomach and also relieves cold symptoms. Rice pudding in the whole grain variety provides many vitamins, minerals and fiber.","['Breakfast', 'high-fiber', 'Vegetarian', 'Vegetarian Breakfast', 'Rice', 'Rice Pudding', 'Sweet Breakfast']"
Rice Stuffed Eggplant Marinara,https://eatsmarter.com/recipes/rice-stuffed-eggplant-marinara,"Eggplants have numerous secondary plant substances such as terpenes, which are said to slow down aging processes in our body cells and even prevent cancer. Tomatoes provide abundant lycopene, an antioxidant that protects cells from free radicals. Feta brings a lot of bone-strengthening calcium in addition to protein.","['Vegetarian', 'nutritional', 'Clean Eating', 'high-fiber', 'High-fiber Vegetarian Dish', 'Healthy Eating', 'Vegetarian Lunch', 'Vegetarian Dinner', 'Vegetarian Entree', 'Classic', 'baked dish', 'Roasted Vegetable', 'seasonal', 'Summer', 'Summer Vegetable', 'Summer Dish', 'Cooking', 'Vegetable', 'Rice', 'Course', 'Lunch', 'Dinner']"
Peppers Stuffed with Rice and Beans,https://eatsmarter.com/recipes/peppers-stuffed-with-rice-and-beans,"IN FORM and the German Nutrition Society (DGE) have given this recipe the ""Recommended by IN FORM"" logo. This logo provides guidance to consumers for a balanced diet. Only healthy recipes that meet all the specified criteria are allowed to carry this logo. Further information on the project ""Tested IN FORM recipes"" can be found here..","['Vegan', 'nutritional', 'Clean Eating', 'high-fiber', 'High-fiber Vegetarian Dish', 'Healthy Eating', 'Vegan Lunch', 'Vegan Dinner', 'Vegan Entree', 'Vegetarian', 'Cooking', 'Vegetable', 'Legume', 'Rice', 'Course', 'Lunch', 'Dinner', 'Side Dish']"
Shrimp Skewers with Black Rice,https://eatsmarter.com/recipes/shrimp-skewers-with-black-rice,"Those who want to prevent premature aging of the skin should reach for black rice. It scores with anthocyanins, which protect our cells. With high blood pressure shrimp are a real secret weapon, as their amino acid L-arginine can dilate the blood vessels.","['Shrimp', 'nutritional', 'High-protein', 'High-protein Fish Dish', 'Healthy Eating', 'healthy', 'Hypertension', 'seasonal', 'Spring', 'Spring Dish', 'Spring Vegetable', 'Summer', 'Summer Dish', 'Special', 'Cooking', 'Vegetable', 'Spices', 'Seafood', 'Shellfish', 'Rice', 'Course', 'Lunch', 'Dinner', 'Menu', 'Main Course']"
