title,url,description,types
Mixed Melon Punch,https://eatsmarter.com/recipes/mixed-melon-punch,"Melons are 96 percent water and contain a pleasantly sweet flavor, so you don't have to add extra sugar to this punch. ",[]
Omelet with Millet,https://eatsmarter.com/recipes/omelet-with-millet,"Bring on the millet: the fine grains are bursting with healthy ingredients. This cereal provides satiating fiber plus plenty of minerals and, together with eggs and yogurt, provides protein.","['Omelet', 'diet', '250-400 Calorie', 'Mineral-rich', 'non-alcoholic', 'Vitamin-rich', 'Fertility', 'Gout', 'Healthy Eyes', 'Healthy Gallbladder', 'Heart Problems', 'high cholesterol', 'Hypertension', 'Iron Deficiency', 'Lactation', 'Liver', 'Osteoarthritis', 'Pregnancy', 'Stomach Discomfort', 'Stress', 'Meal for Two', 'Eggs', 'Fruit', 'Stone Fruit', 'Breakfast', 'Sweet Breakfast', 'Main Course', 'Dessert', 'easy dessert']"
Oatmeal Biscuits with Strawberry Cream,https://eatsmarter.com/recipes/oatmeal-biscuits-with-strawberry-cream,"These delicious biscuits are rich in magnesium, which can help lower blood pressure. ","['Cookie', 'Baking', 'pastry', 'Low-cholesterol', 'Low-cholesterol Pastry', 'Low-cholesterol Dessert', 'diet', '250-400 Calorie', 'non-alcoholic', 'Vitamin-rich', 'Spring', 'Summer', 'Easter Cookie', 'Easter Cookies', 'Easter Dessert', 'Easter Brunch', 'Easter Breakfast', 'crowdpleaser', 'Sweet', 'weekend cooking', 'Brunch', 'Dessert', 'Cream', 'Strawberry Dessert', 'dessert']"
Honey Cake with Orange Topping,https://eatsmarter.com/recipes/honey-cake-with-orange-topping,"Almonds, margarine and canola oil provide rich unsaturated fatty acids; wholemeal flour contains important B vitamins, fiber, and minerals.","['Cake', 'pastry', 'Almond Cake', 'Honey Cake', 'Loaf Cake', 'winter', 'Winter Cake', 'Christmas', 'breakfast for kids', 'Family friendly', 'Snack for Kids', 'Sweet Breakfast', 'Dessert']"
Strawberry Tart with Lime Glaze,https://eatsmarter.com/recipes/strawberry-tart-with-lime-glaze,"This delicious and at the same time low-fat splendour of cake made of light sponge cake base and with a topping rich in vitamins even tolerates cream when ""slimmed down"" with buttermilk, as here. The sponge cake is made with spelt flour, which contains tryptophane from which our body produces serotonin, a ""happiness hormone"".","['strawberry torte', 'Baking', 'pastry', 'Cake', 'Light Cake', 'Berry Cake', 'Strawberry dessert', 'tart', 'diet', '100-250 Calorie', 'lacto-vegetarian', 'non-alcoholic', 'Vegetarian', 'Vegetarian Dessert', 'Osteoarthritis', 'Hypertension', 'Gut Flora', 'high cholesterol', 'Healthy Gallbladder', 'Gout', 'Heart Problems', 'Fertility', 'Stomach Discomfort', 'Crohn&#039;s Disease', 'Pregnancy', 'Lactation', 'German', 'Spring', 'Spring Cake', 'Summer', 'Summer Cake', 'Easter Torte', 'crowdpleaser', 'Guest', 'Party', 'Sunday cooking', 'Dessert', 'easy dessert']"
French Apple Pie from Brittany,https://eatsmarter.com/recipes/french-apple-pie-from-brittany,This delicious apple pie is rich in fiber from the apples and the whole wheat flour. ,"['Apple Pie', 'Baking', 'Cake', 'cake or tart with fruit', 'Sponge Cake', 'Dough', 'cake batter', 'high-fiber', 'High-fiber Pastry', 'High-fiber Dessert', 'Vegetarian', 'Vegetarian Dessert', 'European', 'French', 'seasonal', 'Summer', 'Summer Cake', 'Autumn', 'Autumn Cake', 'Course', 'Snack', 'Menu', 'Dessert']"
Black Sesame Vanilla Ice Cream,https://eatsmarter.com/recipes/black-sesame-vanilla-ice-cream,The good fatty acids from black sesame strengthen has a powerful anti-inflammatory effect. ,"['Ice Cream', 'Clean Eating', 'Superfoods', 'Vegetarian', 'Dessert', 'Superfood Ice Cream', 'low-carb']"
Pineapple Raspberry Popsicles,https://eatsmarter.com/recipes/pineapple-raspberry-popsicles,"If you have problems with digestion, you should try pineapple. It contains the enzyme bromelain, which splits protein and thus promotes metabolism. Pineapple also provides many B vitamins, which strengthen the nerves and help support beautiful skin and hair.","['easy dessert', 'Clean Eating', 'Vegan', 'Vegan Dessert', 'Vegetarian', 'European', 'North America', 'Latin America', 'Summer', 'Dessert', 'Superfood Ice Cream', 'Fruit Dessert', 'Low-calorie']"
Pistachio Pound Cake with Cream Cheese Icing,https://eatsmarter.com/recipes/pistachio-pound-cake-with-cream-cheese-icing,"Pistachios are a great source of important micronutrients and for strong bones and strong teeth provide abundantly contained calcium and phosphorus. As a supplier of iron, pistachios prevent fatigue and exhaustion and support blood formation.","['Loaf Cake', 'Cake', 'nut torte', 'cake or tart with fruit', 'Crohn&#039;s Disease', 'Fertility', 'high cholesterol', 'Iron Deficiency', 'Lactation', 'Osteoarthritis', 'Osteoporosis', 'Stress', 'European', 'Spring', 'Summer', 'Autumn', 'winter', 'Guest', 'Quick', 'Snack', 'Dessert', 'dessert']"
Cookie Christmas Tree,https://eatsmarter.com/recipes/cookie-christmas-tree,Roll out the dough thinly on a lightly floured surface.,"['Christmas Cookie', 'Baking', 'pastry', 'Cookie', 'cookie', 'Cookie', 'Christmas Cookie', 'European', 'North America', 'winter', 'Christmas', 'Christmas pastry', 'Christmas Cookie', 'Dessert', 'confection', 'dessert']"
Watermelon Feta Salad,https://eatsmarter.com/recipes/watermelon-feta-salad,"Watermelons are deeply hydrating as they contain mostly water, and are also packed with a ton of healthy nutrients such as vitamins A, B6 and C, as well as lycopene.",[]
Layered Raspberry Cream Dessert,https://eatsmarter.com/recipes/layered-raspberry-cream-dessert,Raspberries are a great source of antioxidants as well as vitamin C.,"['Menu', 'In a jar', 'Dessert', 'Fruit Dessert']"
Brownie Bites,https://eatsmarter.com/recipes/brownie-bites,"You can vary this by using milk or white chocolate instead, adding other nuts, or rolling them in cocoa powder or coconut flakes. ","['Brownie', 'pastry', 'Cake', 'Chocolate Cake', 'cake batter', 'Dessert']"
Rhubarb Strawberry Crumble with Apples,https://eatsmarter.com/recipes/rhubarb-strawberry-crumble-with-apples,"Tropical coconut oil contains the fatty acid lauric acid - it has an antibacterial effect and kills bacteria as well as viruses. Rhubarb, apples and strawberries provide abundant vitamins and minerals.","['Baking', 'Clean Eating', 'Vegan', 'Vegan Breakfast', 'Vegan Dessert', 'Vegetarian', 'Low-sugar', 'Fruit', 'Dessert', 'Crumble', 'Fruit Dessert', 'dessert']"
Christmas Cookies Ornaments,https://eatsmarter.com/recipes/christmas-cookies-ornaments,Double this recipe and freeze the remainder for up to 4 months for easy cookies any time.,"['Christmas Cookie', 'Baking', 'pastry', 'European', 'North America', 'winter', 'Christmas', 'Christmas pastry', 'Christmas Cookie', 'Christmas Cookie', 'Dessert']"
